subtitle,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,has_lift,is_exterior,energy_certificate,has_parking,Precio_por_m2,Distrito
Trafalgar,55.0,1,1.0,1,False,1406,385500,7009,Pisos,False,False,True,True,other,False,5640.18,Chamberí
Gaztambide,180.0,5,2.0,4,False,2124,699000,3883,Pisos,False,False,True,True,E,False,5000.0,Chamberí
Gaztambide,150.0,4,1.0,5,False,2081,680000,4533,Pisos,True,False,True,False,C,False,5000.0,Chamberí
Arganzuela,50.0,2,1.0,0,True,816,169900,3398,Pisos,False,False,True,False,other,False,3972.6,Arganzuela
Valdemarín,365.0,3,4.0,-1,False,1059,1300000,3562,Casa o chalet,False,False,True,True,E,True,4249.04,Moncloa
San Diego,57.0,2,1.0,1,False,475,86000,1509,Pisos,False,False,False,True,other,False,2007.79,Puente de Vallecas
Acacias,61.0,1,1.0,2,False,979,220000,3607,Pisos,False,False,True,False,E,False,4208.0,Arganzuela
Ventilla-Almenara,104.0,3,2.0,2,False,1655,495000,4760,Pisos,False,False,True,True,other,True,3314.54,Tetuán
Berruguete,66.0,3,1.0,2,False,1038,240000,3636,Pisos,True,False,False,True,other,False,3273.56,Tetuán
Ventas,86.0,3,1.0,3,False,1038,240000,2791,Pisos,False,False,True,True,other,False,2686.93,Ciudad Lineal
Ciudad Universitaria,350.0,6,4.0,-1,False,2440,1060000,3029,Casa o chalet,False,False,True,True,other,True,3810.08,Moncloa
Abrantes,95.0,2,1.0,1,False,1083,255800,2693,Áticos,False,False,True,True,G,True,1964.55,Carabanchel
Berruguete,80.0,1,2.0,0,True,1238,315000,3938,Pisos,False,False,True,True,other,True,3273.56,Tetuán
Fuencarral,682.0,5,5.0,-1,False,-425334,3300000,4839,Casa o chalet,False,False,True,True,other,True,3695.5,Fuencarral
Hortaleza,500.0,6,5.0,-1,False,-13026,1780000,3560,Casa o chalet,False,False,True,True,D,True,4275.46,Hortaleza
Prosperidad,260.0,3,4.0,5,False,1165,1290000,4962,Áticos,True,False,True,True,E,True,4255.84,Chamartín
El Pardo,450.0,5,3.0,-1,False,-74326,2350000,5222,Pisos,True,False,True,True,other,True,5000.0,Fuencarral
Atalaya,158.0,3,2.0,1,False,2012,650000,4114,Pisos,True,False,True,True,F,True,5000.0,Ciudad Lineal
Buena Vista,55.0,3,1.0,3,False,583,110000,2000,Pisos,False,False,False,True,other,False,1886.6,Carabanchel
Arganzuela,96.0,2,2.0,1,False,1395,380713,3966,Pisos,False,True,True,True,other,True,3972.6,Arganzuela
El Cañaveral - Los Berrocales,96.0,2,2.0,7,False,1180,292000,3042,Áticos,False,True,True,True,other,True,2271.52,Vicálvaro
Ventilla-Almenara,81.0,3,1.0,1,False,1044,242000,2988,Pisos,True,False,False,True,other,False,3314.54,Tetuán
Chamartín,300.0,5,3.0,7,False,-20661,1900000,6333,Áticos,True,False,True,True,other,False,5170.22,Chamartín
San Isidro,87.0,1,1.0,3,False,994,225000,2586,Áticos,False,False,True,True,other,False,2323.93,Carabanchel
Fuente del Berro,123.0,2,2.0,3,False,1628,483000,3927,Áticos,False,False,True,True,other,False,4452.82,Salamanca
Chamartín,258.0,2,2.0,1,False,-13026,1780000,6899,Dúplex,True,False,True,True,other,True,6255.45,Chamartín
Ciudad Universitaria,433.0,5,5.0,-1,True,1165,1290000,2979,Pisos,False,False,True,True,other,True,3810.08,Moncloa
Orcasitas,107.0,3,2.0,9,False,758,154000,1439,Pisos,True,False,True,True,G,False,1931.95,Usera
Chopera,53.0,2,2.0,0,True,948,210000,3962,Pisos,False,False,True,True,other,False,3783.78,Arganzuela
Los Ángeles,80.0,3,1.0,3,False,857,182000,2275,Pisos,False,False,True,True,other,False,1796.68,Villaverde
Villaverde,75.0,3,1.0,2,False,666,130000,1733,Pisos,False,False,False,True,other,True,1827.79,Villaverde
Lavapiés-Embajadores,33.0,2,1.0,1,False,740,149000,4515,Pisos,False,False,False,False,other,False,4448.3,Centro
Carabanchel,60.0,3,1.0,3,False,638,123000,2050,Pisos,False,False,False,True,E,False,1980.04,Carabanchel
Cuatro Caminos,100.0,3,1.0,3,False,1542,445000,4450,Pisos,True,False,True,True,other,False,4247.49,Tetuán
Pinar del Rey,65.0,2,1.0,3,False,881,189000,2908,Pisos,True,False,True,True,E,False,2915.33,Hortaleza
Delicias,133.0,3,2.0,1,False,2010,649000,4880,Pisos,False,False,True,True,other,True,3972.6,Arganzuela
Numancia,87.0,3,1.0,2,False,638,123000,1414,Pisos,False,False,False,True,C,False,2081.94,Puente de Vallecas
Vista Alegre,65.0,3,1.0,4,False,583,110000,1692,Pisos,True,False,False,True,other,False,2048.47,Carabanchel
San Andrés,124.0,3,2.0,1,False,1094,260000,2097,Pisos,False,False,True,True,other,True,1617.18,Villaverde
Moncloa,60.0,1,1.0,3,False,1311,345000,5750,Pisos,False,False,True,True,other,True,4249.04,Moncloa
Malasaña-Universidad,38.0,1,1.0,2,False,954,212000,5579,Pisos,False,False,True,False,other,False,5196.25,Centro
Chamberí,268.0,5,2.0,2,False,2165,1150000,4291,Pisos,False,False,True,True,other,False,5000.0,Chamberí
Media Legua,144.0,3,2.0,1,False,1553,450000,3125,Pisos,False,False,True,True,other,True,2803.11,Moratalaz
Canillas,262.0,5,3.0,-1,False,2070,675000,2576,Casa o chalet,False,False,True,True,other,True,3152.53,Hortaleza
El Cañaveral - Los Berrocales,100.0,3,2.0,5,False,1047,243000,2430,Pisos,False,True,True,True,B,True,2271.52,Vicálvaro
Imperial,106.0,3,2.0,2,False,1474,415000,3915,Pisos,False,False,True,True,D,False,4098.59,Arganzuela
Bernabéu-Hispanoamérica,86.0,3,1.0,3,False,1825,569000,6616,Pisos,False,False,True,True,C,False,5170.22,Chamartín
Chueca-Justicia,112.0,2,2.0,2,False,2126,700000,6250,Pisos,False,False,True,True,other,True,6029.36,Centro
Gaztambide,88.0,3,2.0,2,False,1576,460000,5227,Pisos,False,False,True,True,other,False,5000.0,Chamberí
Moncloa,420.0,4,5.0,-1,False,-8202,1680000,4000,Casa o chalet,False,False,True,True,other,True,4249.04,Moncloa
San Juan Bautista,75.0,2,1.0,2,False,1086,257000,3427,Pisos,False,False,False,True,C,False,4098.7,Ciudad Lineal
Chamartín,573.0,5,2.0,7,False,-51191,2200000,3839,Pisos,True,False,True,True,other,True,6255.45,Chamartín
Nuevos Ministerios-Ríos Rosas,49.0,1,1.0,2,False,1061,248000,5061,Pisos,True,False,True,False,other,False,5000.0,Chamberí
Bellas Vistas,105.0,4,1.0,3,False,1323,350000,3333,Pisos,True,False,True,True,other,True,3536.07,Tetuán
Moncloa,360.0,5,4.0,3,False,2165,1150000,3194,Pisos,False,False,True,True,other,True,3810.08,Moncloa
Castilla,126.0,4,2.0,1,False,1519,435000,3452,Pisos,False,False,True,True,E,False,4354.35,Chamartín
Moncloa,156.0,3,2.0,3,False,1687,509000,3263,Pisos,False,False,False,True,other,True,3810.08,Moncloa
Chamartín,260.0,4,4.0,4,False,-11444,1750000,6731,Pisos,False,False,True,True,B,True,5363.75,Chamartín
Prosperidad,75.0,2,2.0,2,False,1330,353000,4707,Dúplex,False,False,True,True,other,False,4255.84,Chamartín
Valdezarza,130.0,3,2.0,5,False,1655,495000,3808,Pisos,False,False,True,True,other,True,2951.77,Moncloa
Retiro,194.0,4,4.0,1,False,2315,790000,4072,Pisos,False,False,True,True,D,True,4935.6,Retiro
Nuevos Ministerios-Ríos Rosas,152.0,4,3.0,1,False,2224,745000,4901,Pisos,True,False,True,True,E,True,5000.0,Chamberí
Pradolongo,70.0,3,1.0,4,False,658,128000,1829,Pisos,False,False,False,True,E,False,2068.64,Usera
Aravaca,314.0,4,4.0,-1,False,2070,675000,2150,Casa o chalet,False,False,True,True,other,True,3600.4,Moncloa
Chueca-Justicia,101.0,3,2.0,2,False,1781,550000,5446,Pisos,True,False,True,True,E,False,6029.36,Centro
Cuatro Caminos,75.0,3,1.0,3,False,1174,290000,3867,Áticos,False,False,True,True,other,False,4247.49,Tetuán
Numancia,86.0,3,1.0,2,False,798,165000,1919,Pisos,False,False,False,True,E,False,2081.94,Puente de Vallecas
Chopera,80.0,3,2.0,6,False,1148,280000,3500,Pisos,False,False,True,True,other,False,3783.78,Arganzuela
Concepción,80.0,1,1.0,2,False,917,200000,2500,Pisos,True,False,True,True,F,False,3341.09,Ciudad Lineal
Lavapiés-Embajadores,63.0,2,1.0,2,False,1197,299000,4746,Pisos,False,False,False,True,other,False,4448.3,Centro
Butarque,105.0,3,2.0,6,False,1024,235305,2241,Pisos,False,True,True,True,other,False,2197.8,Villaverde
Fuencarral,505.0,7,5.0,-1,False,2512,995000,1970,Casa o chalet,False,False,True,True,other,True,3271.96,Fuencarral
Ciudad Jardín,159.0,4,2.0,2,False,2070,675000,4245,Pisos,False,False,True,True,E,False,4572.45,Chamartín
San Fermín,100.0,3,2.0,2,False,1135,275000,2750,Pisos,False,False,True,True,other,True,1912.8,Usera
Fuencarral,360.0,6,5.0,1,False,2445,870000,2417,Dúplex,False,False,True,True,other,True,3371.55,Fuencarral
El Cañaveral - Los Berrocales,140.0,4,3.0,1,False,1132,274000,1957,Pisos,False,False,True,True,other,True,2271.52,Vicálvaro
Moncloa,142.0,3,2.0,1,False,2070,675000,4754,Pisos,False,False,True,True,G,True,3810.08,Moncloa
Aravaca,600.0,6,6.0,-1,False,-62000,2275000,3792,Casa o chalet,False,True,True,True,other,True,3600.4,Moncloa
Ensanche de Vallecas - La Gavia,230.0,5,3.0,-1,False,1862,585000,2543,Casa o chalet,False,False,True,True,other,True,2677.28,Villa de Vallecas
San Isidro,91.0,2,2.0,1,False,1009,230000,2527,Pisos,False,True,False,True,other,True,2323.93,Carabanchel
Orcasitas,150.0,3,2.0,1,False,1094,260000,1733,Pisos,False,False,True,True,other,True,1931.95,Usera
Fuencarral,260.0,5,4.0,-1,False,2265,765000,2942,Casa o chalet,False,False,True,True,E,False,3718.4,Fuencarral
Moratalaz,60.0,3,1.0,0,True,625,120000,2000,Pisos,True,False,False,True,G,False,2538.1,Moratalaz
San Fermín,100.0,3,2.0,2,False,1148,280000,2800,Pisos,False,False,True,True,other,True,1912.8,Usera
Orcasitas,120.0,2,2.0,7,False,1200,300000,2500,Dúplex,False,False,True,True,G,True,1931.95,Usera
Los Cármenes,85.0,3,1.0,2,False,744,149990,1765,Dúplex,False,False,True,True,other,False,2458.61,Latina
Abrantes,70.0,3,1.0,4,False,740,149000,2129,Pisos,False,False,False,True,other,False,1964.55,Carabanchel
Lavapiés-Embajadores,27.0,2,1.0,1,False,662,129000,4778,Pisos,True,False,False,False,G,False,4448.3,Centro
Pueblo Nuevo,90.0,3,2.0,4,False,1275,330000,3667,Pisos,False,False,True,True,F,True,2578.87,Ciudad Lineal
Numancia,56.0,1,1.0,1,False,758,154000,2750,Pisos,False,False,True,True,E,False,2081.94,Puente de Vallecas
Aluche,70.0,3,1.0,3,False,813,169000,2414,Pisos,False,False,True,True,other,False,2190.48,Latina
Bellas Vistas,50.0,2,1.0,1,False,777,159000,3180,Pisos,True,False,False,False,other,False,3536.07,Tetuán
Pueblo Nuevo,60.0,3,1.0,1,False,724,144900,2415,Pisos,True,False,False,True,other,False,2578.87,Ciudad Lineal
Los Ángeles,73.0,3,1.0,-1,True,604,115000,1575,Pisos,False,False,False,True,other,False,1796.68,Villaverde
Moscardó,80.0,3,1.0,3,False,717,143000,1788,Pisos,False,False,False,True,other,False,2284.48,Usera
San Cristóbal,82.0,3,1.0,3,False,465,83900,1023,Pisos,False,False,False,True,other,False,1308.89,Villaverde
Almagro,204.0,5,3.0,2,False,-2096,1490000,7304,Pisos,True,False,True,True,other,True,6564.27,Chamberí
Vinateros,101.0,3,2.0,7,False,1148,279845,2771,Pisos,False,False,True,True,other,True,2538.1,Moratalaz
Valdeacederas,48.0,1,1.0,2,False,861,183000,3812,Pisos,False,False,True,True,other,False,3163.8,Tetuán
Fuencarral,488.0,6,5.0,-1,False,2514,990000,2029,Casa o chalet,False,False,True,True,other,True,3271.96,Fuencarral
Entrevías,120.0,2,2.0,4,False,705,139999,1167,Pisos,False,False,True,True,other,False,1574.36,Puente de Vallecas
Fuencarral,371.0,4,5.0,-1,False,2464,885000,2385,Casa o chalet,False,False,True,True,other,False,3271.96,Fuencarral
Ventas,52.0,2,1.0,5,False,579,109000,2096,Pisos,False,False,False,True,other,False,2686.93,Ciudad Lineal
Adelfas,160.0,4,2.0,1,False,2012,650000,4062,Áticos,False,False,True,True,other,False,4020.62,Retiro
Argüelles,270.0,4,3.0,2,False,2480,900000,3333,Pisos,False,False,True,True,E,False,4807.69,Moncloa
Usera,124.0,3,2.0,1,False,777,159000,1282,Pisos,True,False,False,True,other,False,2068.64,Usera
Palomeras Bajas,60.0,1,1.0,2,False,666,130000,2167,Pisos,False,False,False,True,E,False,1983.7,Puente de Vallecas
Carabanchel,85.0,3,1.0,0,True,744,150000,1765,Pisos,False,False,False,True,other,False,1980.04,Carabanchel
Pacífico,160.0,4,2.0,2,False,1841,576000,3600,Pisos,False,False,True,True,other,True,4105.12,Retiro
Águilas,63.0,2,1.0,5,False,686,135000,2143,Pisos,True,False,True,True,other,False,2110.34,Latina
Lavapiés-Embajadores,25.0,1,1.0,4,False,724,144900,5796,Pisos,False,False,False,False,other,False,4448.3,Centro
Moncloa,321.0,5,4.0,-1,False,2235,1133211,3530,Casa o chalet,False,False,True,True,other,True,3600.4,Moncloa
El Cañaveral - Los Berrocales,112.0,3,2.0,1,False,1175,290300,2592,Pisos,False,True,True,True,other,True,2271.52,Vicálvaro
Ibiza,48.0,1,1.0,4,False,1416,390000,8125,Pisos,False,False,True,False,other,False,5492.17,Retiro
Barajas,362.0,6,3.0,-1,False,2159,715000,1975,Casa o chalet,False,False,True,True,E,False,2879.88,Barajas
Chueca-Justicia,150.0,2,2.0,1,False,2386,830000,5533,Pisos,False,False,True,True,other,False,6029.36,Centro
Barrio de Salamanca,99.0,2,2.0,2,False,1955,625000,6313,Pisos,False,False,True,True,other,False,5681.21,Salamanca
Numancia,45.0,1,1.0,-1,False,662,129000,2867,Pisos,False,False,False,True,G,True,2081.94,Puente de Vallecas
Goya,210.0,4,3.0,3,False,2516,960000,4571,Pisos,True,False,True,True,E,True,5887.64,Salamanca
Chamberí,81.0,1,1.0,0,True,1496,425000,5247,Pisos,False,False,True,True,other,False,6564.27,Chamberí
Puente de Vallecas,90.0,4,1.0,3,False,705,139900,1554,Pisos,True,False,False,True,other,False,1983.7,Puente de Vallecas
Las Tablas,120.0,3,2.0,3,False,1779,549000,4575,Pisos,False,False,True,True,other,True,4256.38,Fuencarral
Ensanche de Vallecas - La Gavia,77.0,2,1.0,5,False,979,220000,2857,Pisos,False,False,True,True,E,True,2677.28,Villa de Vallecas
Arapiles,59.0,2,1.0,1,False,1320,349000,5915,Pisos,False,False,False,True,E,False,4869.57,Chamberí
Pueblo Nuevo,65.0,3,1.0,1,False,758,154000,2369,Pisos,False,False,True,True,G,False,2578.87,Ciudad Lineal
Puente de Vallecas,60.0,3,1.0,3,False,583,110000,1833,Pisos,False,False,False,True,other,False,2076.58,Puente de Vallecas
San Isidro,69.0,3,1.0,2,False,628,120600,1748,Pisos,False,False,True,True,other,False,2323.93,Carabanchel
Acacias,48.0,2,1.0,-1,True,933,205000,4271,Dúplex,False,False,True,False,other,False,4208.0,Arganzuela
Fuencarral,121.0,4,3.0,2,False,1238,315000,2603,Pisos,False,False,True,True,E,True,2648.73,Fuencarral
Vallehermoso,194.0,4,2.0,8,False,1900,1200000,6186,Áticos,False,False,True,True,other,False,4548.3,Chamberí
Retiro,83.0,3,1.0,1,False,1287,335000,4036,Pisos,True,False,False,True,other,False,4246.58,Retiro
